Mods count: 222
 
                                     jar name                                      |    notes     |                mod id                |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
-----------------------------------------------------------------------------------+--------------+--------------------------------------+-------------------------------------------+------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.15.jar (modloader)                                           |              | forge                                | forge                                     | fmlloader-1.20.1-47.4.15.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
1.1.0+1.20.1forge.jar                                                              |              | old_recording                        | Old Recording                             | 1.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | d6eb844ad2d3d778c749a8b444132e35f3a84a27 | 1339852429     
addonslib-forge-1.20.1-1.11.jar                                                    |              | addonslib                            | AddonsLib                                 | 1.20.1-1.11                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 7477a3b4f63dbcfe596b0cd017ceec44cefc93be | 3653387104     
alexsdelight-1.5.jar                                                               |              | alexsdelight                         | Alex's Delight                            | 1.5                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ef7049ba6f16df22c8d98dd4dad2d9dc2aa6b6ba | 710839485      
alexsmobs-1.22.9.jar                                                               |              | alexsmobs                            | Alex's Mobs                               | 1.22.9                       | citadel.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | dbf93d2f1da19e16739e91e8ea0fc6f4bc2f228f | 1000930585     
alltheleaks-1.1.1+1.20.1-forge.jar                                                 |              | alltheleaks                          | All The Leaks                             | 1.1.1+1.20.1-forge           | alltheleaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3c43c2e76093dc7ef5ad6e456d20da9674c653aa | 1225915087     
almanac-1.20.x-forge-1.0.2.jar                                                     |              | almanac                              | Almanac                                   | 1.0.2                        | almanac.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | f0b711df59cd589b088e536ca4134c5e6e73fd58 | 409215932      
AlwaysEat-5.2.jar                                                                  |              | salwayseat                           | AlwaysEat                                 | 5.2                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 250cafb62c3f73cce919a56899ebd94424036735 | 1474521581     
and_there_was_only_one_bed-1.20.1-1.0.jar                                          |              | and_there_was_only_one_bed           | And There Was Only One Bed                | 1.20.1-1.0                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e80cec3600275e5c0f0fa55ff91de886f614c819 | 21022519       
anomaly_rephased-2.0.0b31-forge-1.20.1.jar                                         | MCreator mod | anomaly_rephased                     | Anomaly Rephased                          | 2.0.031                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e4b1c0554ebc0b50811260dacaf69786b7f36f94 | 1531440159     
Antlers_of_Hunger_0.1.2_1.20.1_VIBRANT.jar                                         |              | antlers_of_hunger                    | Antlers_of_Hunger                         | 0.1.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0a69e0b90f8541b37d1fa6168e6a7a9bd4965176 | 3237205485     
appleskin-forge-mc1.20.1-2.5.1.jar                                                 |              | appleskin                            | AppleSkin                                 | 2.5.1+mc1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 81919356f84eab14258db98924b66c3c38e372b1 | 1671637789     
architectury-9.2.14-forge.jar                                                      |              | architectury                         | Architectury                              | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
autohud-8.7+1.20.1-forge.jar                                                       |              | autohud                              | Auto HUD                                  | 8.7                          | autohud-compat.mixins.json, autohud.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                              | f6b93048644070ba385290ae3ca460408331062e | 3432543357     
